GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AnimalShelterFX_2019,Controllers,Registration,88,0,0,0,23,0,8,0,8,0
AnimalShelterFX_2019,Webshop,Webshop,20,0,0,0,5,0,2,0,2,0
AnimalShelterFX_2019,Webshop,Product,15,0,0,0,6,0,3,0,3,0
AnimalShelterFX_2019,Models,Gender,24,0,0,0,3,0,1,0,1,0
AnimalShelterFX_2019,Models,Dog,42,0,2,0,11,0,5,0,4,0
AnimalShelterFX_2019,Models,Animal,68,0,4,0,24,0,12,0,10,0
AnimalShelterFX_2019,Models,Cat,47,0,2,0,13,0,5,0,4,0
AnimalShelterFX_2019,Models,Reservor,23,0,0,0,10,0,5,0,5,0
AnimalShelterFX_2019,sample,Main,24,0,0,0,7,0,3,0,3,0
AnimalShelterFX_2019,sample,Controller,119,0,10,0,35,0,14,0,9,0
